Age,Workclass,FinalWeight,Education,EducationNum,MaritalStatus,Occupation,Relationship,Race,Sex,Hours-Per-Week,Native Country,Income,age_hours_interaction
48, Self-emp-not-inc,265477, Assoc-acdm,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K,1920
31, Private,507875, 9th,5, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,43, United-States, <=50K,1333
53, Self-emp-not-inc,88506, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K,2120
24, Private,172987, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States, <=50K,1200
49, Private,94638, HS-grad,9, Separated, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K,1960
25, Private,289980, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, White, Male,35, United-States, <=50K,875
57, Federal-gov,337895, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, Black, Male,40, United-States, >50K,2280
53, Private,144361, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,38, United-States, <=50K,2014
44, Private,128354, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,40, United-States, <=50K,1760
41, State-gov,101603, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K,1640
29, Private,271466, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Male,43, United-States, <=50K,1247
25, Private,32275, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, Other, Female,40, United-States, <=50K,1000
18, Private,226956, HS-grad,9, Never-married, Other-service, Own-child, White, Female,30, ?, <=50K,540
47, Private,51835, Prof-school,15, Married-civ-spouse, Prof-specialty, Wife, White, Female,60, Honduras, >50K,2820
50, Federal-gov,251585, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,55, United-States, >50K,2750
47, Self-emp-inc,109832, HS-grad,9, Divorced, Exec-managerial, Not-in-family, White, Male,60, United-States, <=50K,2820
43, Private,237993, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,40, United-States, >50K,1720
46, Private,216666, 5th-6th,3, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico, <=50K,1840
35, Private,56352, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,40, Puerto-Rico, <=50K,1400
41, Private,147372, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,48, United-States, <=50K,1968
30, Private,188146, HS-grad,9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K,1200
30, Private,59496, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K,1200
32, ?,293936, 7th-8th,4, Married-spouse-absent, ?, Not-in-family, White, Male,40, ?, <=50K,1280
48, Private,149640, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K,1920
42, Private,116632, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,45, United-States, >50K,1890
29, Private,105598, Some-college,10, Divorced, Tech-support, Not-in-family, White, Male,58, United-States, <=50K,1682
36, Private,155537, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K,1440
28, Private,183175, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K,1120
53, Private,169846, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, >50K,2120
49, Self-emp-inc,191681, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K,2450
25, ?,200681, Some-college,10, Never-married, ?, Own-child, White, Male,40, United-States, <=50K,1000
19, Private,101509, Some-college,10, Never-married, Prof-specialty, Own-child, White, Male,32, United-States, <=50K,608
31, Private,309974, Bachelors,13, Separated, Sales, Own-child, Black, Female,40, United-States, <=50K,1240
29, Self-emp-not-inc,162298, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,70, United-States, >50K,2030
23, Private,211678, Some-college,10, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K,920
79, Private,124744, Some-college,10, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,20, United-States, <=50K,1580
27, Private,213921, HS-grad,9, Never-married, Other-service, Own-child, White, Male,40, Mexico, <=50K,1080
40, Private,32214, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K,1600
67, ?,212759, 10th,6, Married-civ-spouse, ?, Husband, White, Male,2, United-States, <=50K,134
18, Private,309634, 11th,7, Never-married, Other-service, Own-child, White, Female,22, United-States, <=50K,396
31, Local-gov,125927, 7th-8th,4, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States, <=50K,1240
18, Private,446839, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,30, United-States, <=50K,540
52, Private,276515, Bachelors,13, Married-civ-spouse, Other-service, Husband, White, Male,40, Cuba, <=50K,2080
46, Private,51618, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States, <=50K,1840
59, Private,159937, HS-grad,9, Married-civ-spouse, Sales, Husband, White, Male,48, United-States, <=50K,2832
44, Private,343591, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Female,40, United-States, >50K,1760
53, Private,346253, HS-grad,9, Divorced, Sales, Own-child, White, Female,35, United-States, <=50K,1855
49, Local-gov,268234, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K,1960
33, Private,202051, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, <=50K,1650
30, Private,54334, 9th,5, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K,1200
43, Federal-gov,410867, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, >50K,2150
57, Private,249977, Assoc-voc,11, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, <=50K,2280
37, Private,286730, Some-college,10, Divorced, Craft-repair, Unmarried, White, Female,40, United-States, <=50K,1480
28, Private,212563, Some-college,10, Divorced, Machine-op-inspct, Unmarried, Black, Female,25, United-States, <=50K,700
30, Private,117747, HS-grad,9, Married-civ-spouse, Sales, Wife, Asian-Pac-Islander, Female,35, ?, <=50K,1050
34, Local-gov,226296, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K,1360
29, Local-gov,115585, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,50, United-States, <=50K,1450
48, Self-emp-not-inc,191277, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K,2880
37, Private,202683, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,48, United-States, >50K,1776
48, Private,171095, Assoc-acdm,12, Divorced, Exec-managerial, Unmarried, White, Female,40, England, <=50K,1920
32, Federal-gov,249409, HS-grad,9, Never-married, Other-service, Own-child, Black, Male,40, United-States, <=50K,1280
76, Private,124191, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K,3040
44, Private,198282, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, >50K,2640
47, Self-emp-not-inc,149116, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,50, United-States, <=50K,2350
20, Private,188300, Some-college,10, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K,800
29, Private,103432, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K,1160
32, Self-emp-inc,317660, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K,1280
17, ?,304873, 10th,6, Never-married, ?, Own-child, White, Female,32, United-States, <=50K,544
30, Private,194901, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,40, United-States, <=50K,1200
31, Local-gov,189265, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K,1240
42, Private,124692, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K,1680
24, Private,432376, Bachelors,13, Never-married, Sales, Other-relative, White, Male,40, United-States, <=50K,960
38, Private,65324, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K,1520
56, Self-emp-not-inc,335605, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,50, Canada, >50K,2800
28, Private,377869, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,25, United-States, <=50K,700
36, Private,102864, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Female,40, United-States, <=50K,1440
53, Private,95647, 9th,5, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K,2650
56, Self-emp-inc,303090, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K,2800
49, Local-gov,197371, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, >50K,1960
55, Private,247552, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,56, United-States, <=50K,3080
22, Private,102632, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,41, United-States, <=50K,902
21, Private,199915, Some-college,10, Never-married, Other-service, Own-child, White, Female,40, United-States, <=50K,840
40, Private,118853, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,60, United-States, <=50K,2400
30, Private,77143, Bachelors,13, Never-married, Exec-managerial, Own-child, Black, Male,40, Germany, <=50K,1200
29, State-gov,267989, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, >50K,1450
19, Private,301606, Some-college,10, Never-married, Other-service, Own-child, Black, Male,35, United-States, <=50K,665
47, Private,287828, Bachelors,13, Married-civ-spouse, Exec-managerial, Wife, White, Female,40, United-States, >50K,1880
20, Private,111697, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,28, United-States, <=50K,560
31, Private,114937, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K,1240
35, ?,129305, HS-grad,9, Married-civ-spouse, ?, Husband, White, Male,40, United-States, <=50K,1400
39, Private,365739, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K,1560
28, Private,69621, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Female,60, United-States, <=50K,1680
24, Private,43323, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,40, United-States, <=50K,960
38, Self-emp-not-inc,120985, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,35, United-States, <=50K,1330
37, Private,254202, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K,1850
46, Private,146195, Assoc-acdm,12, Divorced, Tech-support, Not-in-family, Black, Female,36, United-States, <=50K,1656
38, Federal-gov,125933, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, Iran, >50K,1520
43, Self-emp-not-inc,56920, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, <=50K,2580
27, Private,163127, Assoc-voc,11, Married-civ-spouse, Adm-clerical, Wife, White, Female,35, United-States, <=50K,945
20, Private,34310, Some-college,10, Never-married, Sales, Own-child, White, Male,20, United-States, <=50K,400
49, Private,81973, Some-college,10, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, >50K,1960
61, Self-emp-inc,66614, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K,2440
27, Private,232782, Some-college,10, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K,1080
19, Private,316868, Some-college,10, Never-married, Other-service, Own-child, White, Male,30, Mexico, <=50K,570
45, Private,196584, Assoc-voc,11, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, >50K,1800
70, Private,105376, Some-college,10, Never-married, Tech-support, Other-relative, White, Male,40, United-States, <=50K,2800
31, Private,185814, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Female,30, United-States, <=50K,930
22, Private,175374, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,24, United-States, <=50K,528
36, Private,108293, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,24, United-States, <=50K,864
64, Private,181232, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K,2560
43, ?,174662, Some-college,10, Divorced, ?, Not-in-family, White, Female,40, United-States, <=50K,1720
47, Local-gov,186009, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,38, Mexico, <=50K,1786
34, Private,198183, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K,1360
33, Private,163003, Bachelors,13, Never-married, Exec-managerial, Other-relative, Asian-Pac-Islander, Female,40, Philippines, <=50K,1320
21, Private,296158, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,35, United-States, <=50K,735
52, ?,252903, HS-grad,9, Divorced, ?, Not-in-family, White, Male,45, United-States, >50K,2340
48, Private,187715, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,46, United-States, <=50K,2208
23, Private,214542, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K,920
71, Self-emp-not-inc,494223, Some-college,10, Separated, Sales, Unmarried, Black, Male,2, United-States, <=50K,142
29, Private,191535, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K,1740
42, Private,228456, Bachelors,13, Separated, Other-service, Other-relative, Black, Male,50, United-States, <=50K,2100
68, ?,38317, 1st-4th,2, Divorced, ?, Not-in-family, White, Female,20, United-States, <=50K,1360
25, Private,252752, HS-grad,9, Never-married, Other-service, Unmarried, White, Female,40, United-States, <=50K,1000
44, Self-emp-inc,78374, Masters,14, Divorced, Exec-managerial, Unmarried, Asian-Pac-Islander, Female,40, United-States, <=50K,1760
28, Private,88419, HS-grad,9, Never-married, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, England, <=50K,1120
45, Self-emp-not-inc,201080, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K,1800
36, Private,207157, Some-college,10, Divorced, Other-service, Unmarried, White, Female,40, Mexico, <=50K,1440
39, Federal-gov,235485, Assoc-acdm,12, Never-married, Exec-managerial, Not-in-family, White, Male,42, United-States, <=50K,1638
46, State-gov,102628, Masters,14, Widowed, Protective-serv, Unmarried, White, Male,40, United-States, <=50K,1840
18, Private,25828, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,16, United-States, <=50K,288
66, Local-gov,54826, Assoc-voc,11, Widowed, Prof-specialty, Not-in-family, White, Female,20, United-States, <=50K,1320
27, Private,124953, HS-grad,9, Never-married, Other-service, Not-in-family, White, Male,40, United-States, <=50K,1080
28, State-gov,175325, HS-grad,9, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, <=50K,1120
51, Private,96062, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K,2040
27, Private,428030, Bachelors,13, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States, <=50K,1350
28, State-gov,149624, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K,1120
27, Private,253814, HS-grad,9, Married-spouse-absent, Sales, Unmarried, White, Female,25, United-States, <=50K,675
21, Private,312956, HS-grad,9, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K,840
34, Private,483777, HS-grad,9, Never-married, Handlers-cleaners, Not-in-family, Black, Male,40, United-States, <=50K,1360
18, Private,183930, HS-grad,9, Never-married, Other-service, Own-child, White, Male,12, United-States, <=50K,216
33, Private,37274, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,65, United-States, <=50K,2145
44, Local-gov,181344, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, Black, Male,38, United-States, >50K,1672
43, Private,114580, Some-college,10, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K,1720
30, Private,633742, Some-college,10, Never-married, Craft-repair, Not-in-family, Black, Male,45, United-States, <=50K,1350
40, Private,286370, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, Mexico, >50K,1600
37, Federal-gov,29054, Some-college,10, Married-civ-spouse, Adm-clerical, Husband, White, Male,42, United-States, >50K,1554
34, Private,304030, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,40, United-States, <=50K,1360
41, Self-emp-not-inc,143129, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Female,40, United-States, <=50K,1640
53, ?,135105, Bachelors,13, Divorced, ?, Not-in-family, White, Female,50, United-States, <=50K,2650
31, Private,99928, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,50, United-States, <=50K,1550
58, State-gov,109567, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, White, Male,1, United-States, >50K,58
38, Private,155222, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, Black, Female,28, United-States, <=50K,1064
24, Private,159567, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K,960
41, Local-gov,523910, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, Black, Male,40, United-States, <=50K,1640
47, Private,120939, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,45, United-States, <=50K,2115
41, Federal-gov,130760, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,24, United-States, <=50K,984
23, Private,197387, 5th-6th,3, Married-civ-spouse, Transport-moving, Other-relative, White, Male,40, Mexico, <=50K,920
36, Private,99374, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K,1440
40, Federal-gov,56795, Masters,14, Never-married, Exec-managerial, Not-in-family, White, Female,55, United-States, >50K,2200
35, Private,138992, Masters,14, Married-civ-spouse, Prof-specialty, Other-relative, White, Male,40, United-States, >50K,1400
24, Self-emp-not-inc,32921, HS-grad,9, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K,960
26, Private,397317, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K,1040
19, ?,170653, HS-grad,9, Never-married, ?, Own-child, White, Male,40, Italy, <=50K,760
51, Private,259323, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, United-States, >50K,2550
42, Local-gov,254817, Some-college,10, Never-married, Prof-specialty, Not-in-family, White, Female,40, United-States, <=50K,1680
37, State-gov,48211, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,35, United-States, <=50K,1295
18, Private,140164, 11th,7, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K,720
36, Private,128757, Bachelors,13, Married-civ-spouse, Other-service, Husband, Black, Male,36, United-States, >50K,1296
35, Private,36270, HS-grad,9, Divorced, Craft-repair, Not-in-family, White, Male,60, United-States, <=50K,2100
58, Self-emp-inc,210563, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,35, United-States, >50K,2030
17, Private,65368, 11th,7, Never-married, Sales, Own-child, White, Female,12, United-States, <=50K,204
44, Local-gov,160943, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,40, United-States, <=50K,1760
37, Private,208358, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K,1480
35, Private,153790, Some-college,10, Never-married, Sales, Not-in-family, Amer-Indian-Eskimo, Female,40, United-States, <=50K,1400
60, Private,85815, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, Asian-Pac-Islander, Male,40, United-States, <=50K,2400
54, Self-emp-inc,125417, 7th-8th,4, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, >50K,2160
37, Private,635913, Bachelors,13, Never-married, Exec-managerial, Not-in-family, Black, Male,60, United-States, >50K,2220
50, Private,313321, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Female,40, United-States, <=50K,2000
38, Private,182609, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,50, Poland, <=50K,1900
45, Private,109434, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States, <=50K,2475
25, Private,255004, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K,1000
31, Private,197860, Some-college,10, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K,1240
64, ?,187656, 1st-4th,2, Divorced, ?, Not-in-family, White, Male,40, United-States, <=50K,2560
90, Private,51744, HS-grad,9, Never-married, Other-service, Not-in-family, Black, Male,40, United-States, <=50K,3600
54, Private,176681, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, Black, Male,20, United-States, <=50K,1080
53, Local-gov,140359, Preschool,1, Never-married, Machine-op-inspct, Not-in-family, White, Female,35, United-States, <=50K,1855
18, Private,243313, HS-grad,9, Never-married, Sales, Own-child, White, Female,40, United-States, <=50K,720
60, ?,24215, 10th,6, Divorced, ?, Not-in-family, Amer-Indian-Eskimo, Female,10, United-States, <=50K,600
66, Self-emp-not-inc,167687, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,50, United-States, <=50K,3300
75, Private,314209, Assoc-voc,11, Widowed, Adm-clerical, Not-in-family, White, Female,20, Columbia, <=50K,1500
65, Private,176796, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K,2600
35, Private,538583, 11th,7, Separated, Transport-moving, Not-in-family, Black, Male,40, United-States, <=50K,1400
41, Private,130408, HS-grad,9, Divorced, Sales, Unmarried, Black, Female,38, United-States, <=50K,1558
25, Private,159732, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,42, United-States, <=50K,1050
33, Private,110978, Some-college,10, Divorced, Craft-repair, Other-relative, Other, Female,40, United-States, <=50K,1320
28, Private,76714, Prof-school,15, Never-married, Prof-specialty, Not-in-family, White, Male,55, United-States, >50K,1540
59, State-gov,268700, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K,2360
40, State-gov,170525, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,38, United-States, <=50K,1520
41, Private,180138, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,50, Iran, >50K,2050
38, Local-gov,115076, Masters,14, Married-civ-spouse, Exec-managerial, Husband, White, Male,70, United-States, >50K,2660
23, Private,115458, HS-grad,9, Never-married, Transport-moving, Own-child, White, Male,40, United-States, <=50K,920
40, Private,347890, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K,1600
41, Self-emp-not-inc,196001, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,20, United-States, <=50K,820
24, State-gov,273905, Assoc-acdm,12, Married-civ-spouse, Protective-serv, Husband, White, Male,50, United-States, <=50K,1200
20, ?,119156, Some-college,10, Never-married, ?, Own-child, White, Male,20, United-States, <=50K,400
38, Private,179488, Some-college,10, Divorced, Craft-repair, Not-in-family, White, Male,40, United-States, <=50K,1520
56, Private,203580, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,35, ?, <=50K,1960
58, Private,236596, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,45, United-States, >50K,2610
32, Private,183916, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,34, United-States, <=50K,1088
